reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
863c2e30-d9fc-48db-bfb1-6a4571ea60ca,Ai teuis Sumiyati 94,https://play-lh.googleusercontent.com/a-/ALV-UjUpU8XLqR5VbUHjF4n1lUPBKvetK46xP4MO64FQ4mzetG0Hvjk,kenapa gs bisa menginstal,5,0,,2025-04-06 06:24:35,,,
7491182c-bcf1-45d6-b76c-e793290d4b69,Maria Goreti,https://play-lh.googleusercontent.com/a/ACg8ocLH7WaYRs1SX4QepxGGBy-zaZ-HfzlzogmO9S-qJUYkcbbSFw=mo,baik,3,0,,2025-04-06 03:00:03,,,
0a16ca0e-8aab-4b2b-852c-5c4136d24c3e,Rahma,https://play-lh.googleusercontent.com/a/ACg8ocJWs6cysO3NhH_Y2OJc3j0NW8w5be8VRGQl685jfWC2D8eY0g=mo,bagus,5,0,,2025-04-06 00:02:39,,,
646bfbb1-befc-4297-ae2d-41c32947b7a9,Tandi Saputra,https://play-lh.googleusercontent.com/a-/ALV-UjWyMnDG4RFtSuMfa2mqdPumuyyeeQjgFfJ3NQIbiX9VMRqLikwu,"saya mengalami kendala dibagian showcase padahal followers saya lebih, jadi mohon kepada pihak tiktok untuk ditinjau kembali permasalahan tersebut saya selaku wakil dari semua pemula showcase ingin mengajukan hal permasalah tersebut, terimakasih.",1,605,39.3.3,2025-04-05 15:24:06,,,39.3.3
3fea6d2f-a0f5-4cc6-9b30-1bc70cb9aa1e,Ahmad Sodik,https://play-lh.googleusercontent.com/a/ACg8ocI4EInEqKelWMwEDqqTTHwqmhaDNAG7d9dR60e040BmnLxQdw=mo,pokony oke,5,0,39.3.3,2025-04-05 11:29:48,,,39.3.3
202cc18c-be2f-482d-a626-d0cdecca6e1e,Rahkmat 1997,https://play-lh.googleusercontent.com/a/ACg8ocIWc0ARICvPz8Q-mqDp7FgCiU6SRB4Qg_eDSCIhttZukUksgA=mo,👌👌👌,5,0,39.3.3,2025-04-05 11:07:40,,,39.3.3
99e3daec-c02e-40a7-9617-d4dfa1963bc8,Desin Desin,https://play-lh.googleusercontent.com/a/ACg8ocIdDnmaWBBa52SeoZqPDEr947zwQqf-7AzRwwUQ_IbSsxv9NA=mo,aplikasi tiktok saya sering banget di perbarui????,5,0,,2025-04-05 05:33:16,,,
0f968807-7d6e-44e1-a251-529cdbfad6ea,Valentin Hornai,https://play-lh.googleusercontent.com/a/ACg8ocI6yMGoFSmc2I-i1jB1VuIp7z7nwtQ2nFQ5zzrQwi9H9I6PEA=mo,ok,5,0,,2025-04-04 16:42:43,,,
60b5bfcf-5edf-4f35-a137-9efb677bb3ff,YT Yadi chanel,https://play-lh.googleusercontent.com/a-/ALV-UjXgloAsZ6RDyUJ_1gUziIG090LExdhq6CgdLYxJ24xDEGttP-A,keren pokonya,5,7,22.4.5,2025-04-04 06:57:27,,,22.4.5
00548d28-b572-4d46-a8cc-83ad384d2a18,Lulu L,https://play-lh.googleusercontent.com/a/ACg8ocKYqiFZyG_vLEimJUqjOYLCsLpR2UPy1Q5kWz5gXHaEDmVDpA=mo,Aku suka,5,0,39.2.3,2025-04-03 21:27:52,,,39.2.3
